,Time,ID,RSSI,PI
1545,1702045411.1477888,dd:03:16:54:f4:d0,-74,163
1546,1702045412.1559212,dd:03:16:54:f4:d0,-72,163
1547,1702045416.17999,dd:03:16:54:f4:d0,-74,163
1548,1702045423.207363,dd:03:16:54:f4:d0,-80,163
1549,1702045428.2310705,dd:03:16:54:f4:d0,-73,163
1550,1702045430.317767,dd:03:16:54:f4:d0,-74,163
1551,1702045434.2732823,dd:03:16:54:f4:d0,-77,163
1552,1702045435.2776663,dd:03:16:54:f4:d0,-79,163
1553,1702045441.3027017,dd:03:16:54:f4:d0,-78,163
1554,1702045445.3318195,dd:03:16:54:f4:d0,-74,163
1555,1702045447.3519614,dd:03:16:54:f4:d0,-74,163
1556,1702045448.419096,dd:03:16:54:f4:d0,-76,163
1557,1702045450.3646646,dd:03:16:54:f4:d0,-75,163
1558,1702045451.3771183,dd:03:16:54:f4:d0,-77,163
1559,1702045454.4542658,dd:03:16:54:f4:d0,-73,163
1560,1702045455.4097908,dd:03:16:54:f4:d0,-82,163
1561,1702045457.40472,dd:03:16:54:f4:d0,-79,163
1562,1702045458.406582,dd:03:16:54:f4:d0,-76,163
1563,1702045460.4143574,dd:03:16:54:f4:d0,-78,163
1564,1702045461.4722247,dd:03:16:54:f4:d0,-73,163
1565,1702045464.4370782,dd:03:16:54:f4:d0,-81,163
1566,1702045467.440901,dd:03:16:54:f4:d0,-78,163
1567,1702045473.4994562,dd:03:16:54:f4:d0,-79,163
1568,1702045477.5670557,dd:03:16:54:f4:d0,-78,163
1569,1702045478.5472584,dd:03:16:54:f4:d0,-76,163
1570,1702045480.55206,dd:03:16:54:f4:d0,-80,163
1571,1702045482.5288064,dd:03:16:54:f4:d0,-74,163
1572,1702045485.5153632,dd:03:16:54:f4:d0,-74,163
1573,1702045486.5405283,dd:03:16:54:f4:d0,-75,163
1574,1702045487.5551057,dd:03:16:54:f4:d0,-74,163
1575,1702045491.5624363,dd:03:16:54:f4:d0,-77,163
1576,1702045492.5784135,dd:03:16:54:f4:d0,-79,163
1577,1702045495.613898,dd:03:16:54:f4:d0,-82,163
1578,1702045496.617633,dd:03:16:54:f4:d0,-78,163
1579,1702045538.833293,dd:03:16:54:f4:d0,-82,133
1580,1702045550.9038603,dd:03:16:54:f4:d0,-79,133
1581,1702045567.059345,dd:03:16:54:f4:d0,-81,133
1582,1702045592.1220603,dd:03:16:54:f4:d0,-81,133
1583,1702045601.159453,dd:03:16:54:f4:d0,-72,163
1584,1702045605.1738248,dd:03:16:54:f4:d0,-81,163
1585,1702045612.21342,dd:03:16:54:f4:d0,-77,163
1586,1702045614.219126,dd:03:16:54:f4:d0,-78,163
1587,1702045615.220156,dd:03:16:54:f4:d0,-73,163
1588,1702045623.273672,dd:03:16:54:f4:d0,-74,163
1589,1702045625.275019,dd:03:16:54:f4:d0,-81,163
1590,1702045629.2954206,dd:03:16:54:f4:d0,-74,163
1591,1702045631.3043394,dd:03:16:54:f4:d0,-73,163
1592,1702045634.3610897,dd:03:16:54:f4:d0,-77,163
1593,1702045635.3292377,dd:03:16:54:f4:d0,-74,163
1594,1702045637.3444486,dd:03:16:54:f4:d0,-79,163
